Datum,Gemeinde,Ortsteil,Straße,Kategorie,Einbruchsversuch,Täter festgenommen?,ganze Polizei-Meldung
01.01.2015,Öhringen,,Anton-Pilgram-Straße,,,,"Vermutlich ohne Beute verschwand ein Unbekannter nach einem Einbruch in ein Haus in der Öhringer Anton-Pilgram-Straße in der Zeit zwischen Mittwoch, 16:30 Uhr, und Donnerstag, 4:00 Uhr. Durch ein Fenster, dessen Scheibe er zunächst einschlug, stieg er ins Gebäude ein. Vermutlich verletzte er sich an den Glasscherben. Die Öhringer Polizei sucht Zeugen, die zur Tatzeit verdächtige Wahrnehmungen gemacht haben. Hinweise unter Telefon 07941 930-0."
01.01.2015,Siegelsbach,,Bahnhofstraße,Firmengebäude,,,"Rund 1.000 Euro Sachschaden richteten bislang unbekannte Täter in der Silvesternacht bei einem Einbruch in eine Siegelsbacher Firma an. Zwischen 00:40 Uhr und 9 Uhr überstiegen die Unbekannten einen Zaun, der das Gelände in der Bahnhofstraße umgibt und gelangten durch das Öffnen eines Fensters in die Räumlichkeiten des Gebäudes. Mit brachialer Gewalt schlugen sie mit einem Feuerlöscher, den sie zuvor im Haus vorgefunden hatten, zwei verschlossene Bürotüren ein und durchstöberten Schränke und Schubladen nach möglichem Diebesgut. Dabei fiel ihnen lediglich ein einstelliger Bargeldbetrag in die Hände. Ferner versuchten die Einbrecher eine Metalltür eines separaten Gebäudeteils aufzubrechen. Dies gelang ihnen jedoch nicht. Offenbar auch nichts Stehlenswertes fanden die Langfinger im Inneren eines geparkten LKW, den sie offensichtlich durchstöbert hatten. Weitere Gegenstände entwendeten die Täter nach bisherigen Erkenntnissen nicht. Zeugen, die etwas Verdächtiges beobachtet haben oder weitere sachdienliche Hinweise geben können, sollten sich bei der Eppinger Polizei unter Telefon 07262 6095-0 melden."
02.01.2015,Öhringen,Cappel,,,,,"Am Freitagmittag, 02.01.2015, im Zeitraum von 16.00 bis 19.00 Uhr, hebelten bisher unbekannte Einbrecher in einem Wohnhaus in Öhringen Cappel ein Wohnzimmerfenster auf und gelangten so in das Gebäude. Sämtliche Räume des Hauses wurden durchsucht. Schließlich verließ der Einbrecher das Wohnhaus wieder durch die Terrassentür, die er danach offen stehen ließ. Was im Einzelnen entwendet wurde ist noch nicht bekannt. Der angerichtete Sachschaden wird auf mindestens 500 Euro geschätzt."
02.01.2015,Heilbronn,Böckingen,Im Kreuzgrund,,X,,"Nachdem bereits am 20. Dezember in ein Wohnhaus Im Kreuzgrund in Heilbronn-Böckingen eingebrochen worden war, wurde nun ein weiterer Einbruchsversuch festgestellt. Vermutlich über die Saarlandstraße gelangten die Unbekannten an die Gebäuderückseite des Wohnhauses und versuchten dort eine Tür aufzubrechen. Dies gelang jedoch nicht. Möglicherweise versuchten die Langfinger bereits vor Weihnachten ins Gebäude zu gelangen. Personen, die etwas Verdächtiges beobachtet haben, sollten sich mit der Böckinger Polizei unter 07131 20406-0 in Verbindung setzen."
03.01.2015,Eppingen,Kleingartach,Sonnengasse 1,Einkaufsmöglichkeit,,,"Sachschaden in Höhe von mindestens 600 Euro richteten unbekannte Täter beim Einbruch in eine Bäckerei in Eppingen-Kleingartach an. Am Samstagabend gegen 23:30 Uhr brachen die Langfinger eine Metalltür auf und verschafften sich so Zugang in die Backstube des Betriebs in der Sonnengasse. Über das Treppenhaus gelangten die Unbekannten weiter zu einer Tür des Verkaufsraums. Auch diese wuchteten sie auf, um in diesen zu gelangen. Dort durchstöberten sie verschiedene Schränke und Schubladen, fanden offenbar nichts Stehlenswertes. Auch in einer derzeit leerstehenden Wohnung im ersten Obergeschoss des Gebäudes suchten die Täter nach Wertgegenständen, die sie stehlen konnten. Ob ihnen dabei etwas in die Hände fiel, ist unklar. Zeugen, die sachdienliche Hinweise geben können, sollten sich bei der Eppinger Polizei unter 07262 6095-0 melden."
03.01.2015,Flein,,,Firmengebäude,,,"Eine Firma im Fleiner Gewerbegebiet war am vergangenen Wochenende Ziel eines bislang unbekannten Einbrechers. Zwischen Freitag und Sonntag verschaffte sich dieser zunächst gewaltsam Zutritt zu einem Lagerraum. Dort durchstöberte er Schränke und Schubladen nach möglichem Diebesgut. Auch eine weitere Tür im Innern des Gebäudes brach er auf und durchsuchte im angrenzenden Raum nach Wertsachen, die er stehlen konnte. Nachdem er auch eine dritte Tür, die zum Bürokomplex der Firma führt aufgebrochen hatte, durchstöberte er auch dort die Räumlichkeiten. Ob ihm dabei etwas in die Hände fiel, ist bislang unklar. Durch die brachiale Art und Weise wie sich der Täter Zutritt verschafft hatte, entstand Sachschaden im vierstelligen Bereich. Zeugen, die etwas Verdächtiges beobachtet haben oder weitere sachdienliche Hinweise geben können, sollten sich bei der Untergruppenbacher Polizei unter Telefon 07131 64463-0 melden."
04.01.2015,Heilbronn,,Untere Neckarstraße 21,,,,Mindestens zwei bislang unbekannte Täter verschafften sich in der Nacht zum vergangenen Montag durch Einschlagen einer Scheibe und anschließender Entriegelung einer Türe Zugang zum Hallenbad in der Unteren Neckarstraße. Im Gebäudeinnern gelangten die Täter durch Aufbrechen mehrerer Türen in die Büros. Dort versuchten sie schließlich vergeblich einen Tresor aufzuflexen. Nach Einschlagen einer Glastüre zum Kassenbereich entwendeten die Täter die Videoüberwachungsanlage.
04.01.2015,Heilbronn,,Mettelbachstraße,,,,"In der Zeit zwischen vergangenem Sonntag, 18.00 Uhr und Montag, 09.00 Uhr versuchten bislang unbekannte Täter zunächst vergeblich die Terrassentüre einer Doppelhaushälfte in der Mettelbachstraße aufzuhebeln. Deshalb schlugen sie kurzerhand die Scheibe ein und entriegelten die Türe. Ob aus dem Wohnhaus etwas entwendet wurde konnte bislang aufgrund der Abwesenheit des Wohnungsinhabers nicht geklärt werden. Der entstandene Sachschaden beläuft sich auf etwa 500 EURO."
04.01.2015,Bad Rappenau,,,,,,"Bislang unbekannte Täter verschafften sich am vergangenen Montag in der Zeit zwischen 17.00 und 21.30 Uhr durch Aufbrechen der Terrassentüre Zugang zu einem Wohnhaus am südöstlichen Stadtrand von Bad Rappenau. Die Täter durchwühlten im Wohnzimmer und in den Schlafzimmern nahezu sämtliche Schränke und Schubladen und warfen deren Inhalte auf die Zimmerböden. Den Tätern fiel hierbei Schmuck, Uhren und Bargeld im unteren fünfstelligen Bereich In die Hände. Der entstandene Sachschaden beläuft sich auf etwa 500 EURO."
04.01.2015,Untergruppenbach,Unterheinriet,,Einkaufsmöglichkeit,,,"Bislang unbekannte Täter verschafften sich in der Zeit zwischen vergangenem Samstag, 15.00 Uhr und Montag, 06.00 Uhr durch Öffnen einer nur ins Schloss gezogenen Nebeneingangstüre Zutritt zu einer Metzgerei in Unterheinriet. Im Innern der Metzgerei brachen die Täter mehrere Türen auf. Aus der Wechselgeldkasse entwendeten die Täter einen Bargeldbetrag im unteren dreistelligen Bereich. Der angerichtete Sachschaden hingegen beläuft sich dagegen auf etwa 1.500 EURO."
