Datum,Gemeinde,Ortsteil,Straße,Kategorie,Einbruchsversuch,Täter festgenommen?,ganze Polizei-Meldung
01.10.2014,Eppingen,,,Gaststätte,,,"Einen Einbruch verübten bislang unbekannte Täter in der Nacht auf Mittwoch in Eppingen. Nachdem die Unbekannten zwischen 00:30 Uhr und 09:30 Uhr eine Tür am Gebäude aufgebrochen und sich so Zutritt zu den Räumlichkeiten verschafft hatten, machten sich die Langfinger an Geldspielgeräten zu schaffen. Aus diesen entwendeten sie Münzgeld in noch unbekannter Höhe. Weiterhin nahmen die Täter eine Tasche mit persönlichen Gegenständen an sich. Der angerichtete Sachschaden kann derzeit noch nicht beziffert werden. Zeugen, die etwas Verdächtiges beobachtet haben, sollten sich bei der Polizei unter Telefon 07262 6095-0 melden."
01.10.2014,Heilbronn,,Fischergasse,Gaststätte,,,"Primär auf Bargeld hatten es derzeit noch unbekannte Täter bei einem Einbruch in einer Imbissstube am Mittwochmorgen in Heilbronn abgesehen. Über einen in der Fischergasse gelegenen Balkon gelangten die Einbrecher gegen 03:30 Uhr in einen Vorraum der Gaststätte. Dort brachen sie eine Tür auf, um so ins Innere des Gastraumes einzudringen, wo sie sich an den Geldspielautomaten zu schaffen machten. Aus den aufgebrochenen Automaten nahmen die Diebe das darin befindliche Münzgeld mit. Ferner entwendeten sie eine Wechselgeldkasse mit wenigen hundert Euro Bargeld. Die Höhe des angerichteten Sachschadens ist derzeit noch nicht bekannt. Zeugen, die sachdienliche Hinweise zur Aufklärung des Falls geben können, melden sich bitte bei der Polizei unter Telefon 07131 104-2500."
01.11.2014,Heilbronn,Klingenberg,Leingartener Straße,Friseursalon,X,,"In die Räumlichkeiten eines Friseursalons in der Leingartener Straße in Klingenberg zu gelangen, versuchte ein derzeit noch unbekannter Einbrecher am vergangenen Wochenende. Zwischen Samstag, 11 Uhr und Sonntag 16 Uhr, versuchte der Unbekannte gewaltsam in das Gebäude einzudringen, was ihm missglückte. Zeugen, die etwas Verdächtiges beobachtet haben oder andere sachdienliche Hinweise geben können, sollten sich bei der Polizei unter Telefon 07131 20406-0 melden."
01.11.2014,Zaberfeld,,In den Jergenwiesen,,,,"Ein bislang unbekannter Täter verschaffte sich in der Nacht zum vergangenen Samstag durch Entriegeln einer Terrassentüre Zugang zu einem Wohnhaus in der Straße ""In den Jergenwiesen"". Der Einbrecher durchsuchte sämtliche Räumlichkeiten. Ob etwas entwendet wurde steht bislang nicht fest, da sich die Eigentümer des Wohnhauses im Urlaub befinden."
01.12.2014,Neckarsulm,Obereisesheim,Einsteinstraße,,X,,"Bei einem Einbruchsversuch blieb es am Montag in Obereisesheim. Zwischen 8:15 Uhr und 15:45 Uhr versuchte ein Unbekannter die Haustür eines Einfamilienhauses in der Einsteinstraße aufzubrechen. Dies misslang ihm jedoch. An der Tür entstand geringer Sachschaden. Sollten Zeugen etwas Verdächtiges beobachtet haben, werden diese gebeten, sich mit der Polizei unter Telefon 07132 9371-0 in Verbindung zu setzen."
01.12.2014,Heilbronn,,Horkheimer Straße,Gaststätte,,,"Auf eine Gaststätte in der Heilbronner Horkheimer Straße hatte es am Montag, in der Zeit von 02.00 Uhr bis 16.15 Uhr, ein bislang Unbekannter abgesehen. Der Täter hatte dort eine Tür des Lokals aufgebrochen und konnte so in das Innere des Gebäudes gelangen. Hier hebelte er drei Spielautomaten auf und ließ das darin befindliche Bargeld mitgehen. Sachdienliche Hinweise nimmt die Polizei Heilbronn unter der Tel.Nr.: 07131 104-2500 entgegen."
01.12.2014,Öhringen,,Schulgasse,Einkaufsmöglichkeit,,,"Ein Unbekannter hat am Montagabend in der Öhringer Innenstadt ein Schuhgeschäft überfallen. Der Mann betrat kurz vor 19 Uhr den Laden in der Schulgasse und forderte von der alleine anwesenden Inhaberin Geld. Dabei hatte der Räuber eine Strickmütze über sein Gesicht gezogen und schüchterte die Frau mit der Behauptung ein, ein Messer in der Tasche zu haben. Die 53-Jährige gab deshalb einen dreistelligen Bargeldbetrag an ihn heraus, wonach er die Flucht in Richtung An der Walk / Hofgarten ergriff. Beobachtet wurde das Geschehen von zwei Frauen, die zu diesem Zeitpunkt mit dem Auto an dem Geschäft vorbeifuhren. Sie alarmierten sofort die Polizei. Bei dem Täter handelt es sich um einen etwa 20 bis 25 Jahre alten, zirka 170 cm großen Mann mit normaler Statur. Bekleidet war er mit einer schwarzen Sporthose, einer hellen Jacke und einer schwarzen Strickmütze. Er hatte einen Rucksack dabei und sprach akzentfreies Deutsch. Die Polizei in Öhringen nimmt unter der Telefonnummer 07941 9300 sachdienliche Hinweise entgegen."
01.12.2014,Bad Rappenau,Obergimpen,Im Kirchardtsbrunnen,,,,"Auf ein Wohnhaus in Bad Rappenau-Obergimpen hatten es bislang unbekannte Täter am Montag abgesehen. In der Zeit zwischen 16 Uhr und 19:15 Uhr brachen die Unbekannten eine Terrassentür des Zweifamilienhauses im ""Kirchardtsbrunnen"" auf und gelangten so in die Räumlichkeiten. Dort durchstöberten die Langfinger verschiedene Schränke und Behältnisse nach möglichem Diebesgut. Dabei fielen ihnen einige Schmuckstücke in die Hände. Die Polizei bittet Zeugen die etwas Verdächtiges beobachtet haben oder weitere sachdienliche Hinweise geben können, sich unter Telefon 07262 6095-0 zu melden."
01.12.2014,Öhringen,,Austraße,Einkaufsmöglichkeit,,,"In der Nacht zum Montag haben Unbekannte einen Öhringer Elektromarkt in der Austraße heimgesucht. In der Zeit nach Mitternacht verschafften sich die Täter gewaltsam Zugang zu den Verkaufsräumen. Hier hatten es die Eindringlinge auf hochwertige Mobiltelefone abgesehen. Sie erbeuteten Handys der Marken Samsung und Apple. Der Wert des Diebesgutes und der angerichtete Sachschaden stehen noch nicht fest. Wer im Tatzeitraum bis zum frühen Montagmorgen etwas Verdächtiges im Bereich des Elektrogeschäftes bemerkt hat, sollte sich bei der Kriminalpolizei Künzelsau, Telefon 07940 9400, melden."
01.12.2014,Aglasterhausen,,Im oberen Tal,Firmengebäude,,,"Auch ein Firmengebäude in Aglasterhausen blieb in der Nacht zum Montag nicht vor Einbrechern verschont. Kurz nach Mitternacht fiel einer Streife des Mosbacher Polizeireviers auf, dass in der Werkstatt des Betriebs ""Im oberen Tal"" Licht brannte, weshalb die Ordnungshüter nach dem Rechten schauten. Schnell hatten die Beamten ein aufgebrochenes Fenster entdeckt und durchsuchten daraufhin das Gebäude. Die Langfinger hatten zwischenzeitlich bereits das Weite gesucht. Ob etwas gestohlen wurde, ist bislang noch nicht bekannt. Personen, die etwas Verdächtiges beobachtet haben, sollten sich bei der Polizei unter Telefon 06261 809-0 melden."
10.11.2014,Bad Rappenau,,Merkurstraße,,X,,In Bad Rappenau waren in der Nacht zum Montag vermutlich zwischen 2 und 3 Uhr Einbrecher am Werk. Sie versuchten mit einem Brecheisen in der Merkurstraße eine Türe an einem Wohnhaus aufzustemmen. Dies misslang.
10.11.2014,Flein,,Schozacher Straße,,X,,"Der Versuch von Unbekannten, an der Rückseite eines Wohngebäudes in der Schozacher Straße in Flein zwei Terrassentüren aufzuwuchten, scheiterte. Zwar gingen durch die brachiale Gewalt sogar die äußeren Scheiben der Türen kaputt, ins Innere gelangten die Langfinger jedoch nicht."
10.11.2014,Heilbronn,Sontheim,Görrestraße,,,,In der Görrestraße in heilbronn-Sontheim hebelten Einbrecher im 1. Obergeschoß eines Wohnhauses die Türe zu einer Zweizimmerwohnung auf. Im Innern stahlen sie einen Fernseher und eine geringe Summe Bargeld. Hinweise auf die Täter gibt es in keinem der Fälle.
10.12.2014,Untereisesheim,,Herzog-Magnus-Straße,,X,,"Eine Wohnung in der Herzog-Magnus-Straße in Untereisesheim war im Laufe des Tages das Ziel eines bisher unbekannten Einbrechers. Zunächst entfernte er die Schrauben des Türbeschlags und versuchte im Anschluss daran, den Schließzylinder aufzubrechen. Jedoch ohne Erfolg. Somit blieb es bei einem Versuch."
10.12.2014,Niedernhall,Waldzimmern,Würthstraße,Firmengebäude,X,,"Zwei Männerstimmen aus einem Rohbau hörte ein Wachmann, der gerade im Bereich der Würthstraße im Niedernhaller Ortsteil Waldzimmern einen Kontrollgang machte. Als ihn die Unbekannten hörten, flüchteten sie. Das wiederum hörte der Wachmann, was ihn dazu veranlasste, die Männer zu verfolgen. Im Freien angekommen traf er hinter einem dort abgestellten Muldenkipper einen 29-Jährigen an, den er festhielt, bis er ihn der alarmierten Polizei aus Künzelsau übergeben konnte. Obwohl gleich darauf weitere Streifen vom Polizeirevier Öhringen eintrafen, konnten die Beamten den zweiten Tatverdächtigen nicht finden. Offensichtlich hatten die beiden Männer versucht, aus einem Lagerraum von einer großen Kabeltrommel drei Zentimeter dickes Kupferkabel zu stehlen. Hierzu trennten sie Kabelstränge mit einer Länge von zwei Metern ab. Insgesamt lagen bereits 28 solcher Teilstücke bereit. Auch ein Fahrzeug, das den beiden Tatverdächtigen zugeordnet werden konnte, fand die Polizei in Tatortnähe. Der Festgenommene stritt die Tat ab und gab an, aus einem anderen Grund an der Stelle gewesen zu sein. Die Ermittlungen gegen den im Raum Ludwigsburg Lebenden und seinen unbekannten Begleiter dauern an."
