Wann?,Ort,Ortsteil,Strasse,Schaden?,Privat,Firma,Gaststätte,Sonstige,Meldung,Ortsdaten  www.gpsies.com/coordinate.do
31.10.2013,Heilbronn,,Jägerhausstraße,,x,,,,Unbekannte Täter drangen am Donnerstag in der Zeit zwischen 09.15 und 11.50 Uhr in ein Wohnhaus der Jägerhausstraße ein. Nach mehreren erfolglosen Versuchen an verschiedenen Türen gelangten die Täter durch Aufwuchten eines Wohnzimmerfensters ins Gebäude. Mit mehreren Apple-Geräten und Schmuck im Gesamtwert von mehreren Tausend Euro verschwanden die Einbrecher. Hinweise über verdächtige Beobachtungen an die Kriminalpolizei Heilbronn unter Telefon 07131 104-4444.,
31.10.2013,Leingarten,,Dieselstraße,,,,x,,"Unbekannte drangen in der Zeit von Mittwoch, 22.20 Uhr bis Donnerstag, 07.50 Uhr in einen Imbiss in der Dieselstraße ein. Die Täter wuchteten die Eingangstür auf und machten sich am Geldspielautomat zu schaffen. Die Kassetteneinsätze mit dem Münzgeld wurden komplett entwendet. Zudem rissen die Einbrecher eine Gästesparkasse von der Wand und verschwanden damit. Der Sachschaden beläuft sich auf ca. 800 Euro.",
31.10.2013,Möckmühl,,Boschstraße,,,,x,,"Bislang Unbekannte drangen in der Zeit von Mittwoch, 22.45 Uhr bis Donnerstag, 09.00 Uhr gewaltsam in eine Gaststätte in der Boschstraße ein. Im Gastraum wurde ein Geldspielautomat aufgebrochen und die kompletten Kassetteneinsätze mit dem Münzgeld in noch unbekannter Höhe  entwendet. Der Sachschaden wird mit ca. 500 Euro angegeben. Hinweise über verdächtige Beobachtungen an den Polizeiposten Möckmühl unter Telefon 06298 92000.",
31.10.2013,Obersulm,,Breitäcker,,x,,,,Bislang Unbekannte drangen am Donnerstag in der Zeit zwischen 17.00 – 22.15 Uhr im Bereich Breitäcker in ein Einfamilienhaus ein. Die Täter gelangten durch das Einschlagen der Terrassentürfensterscheibe in das Haus und entwendeten aus einem Kinderzimmer einen geringen Bargeldbetrag. Hinweise über verdächtige Wahrnehmungen an das Polizeirevier Weinsberg unter Telefon 07134 9920.,
02.11.2013,Abstatt,,Jägerhausstraße,,x,,,,"Am Samstagabend, 02.11.2013, im Zeitraum von 18.45 bis 21.45 Uhr, wurde in der Jägerhausstraße in Abstatt ein Einfamilienhaus von Einbrechern aufgesucht. Die bisher unbekannten Täter stiegen über ein Küchenfenster, das zuvor aufgehebelt worden war ins Haus ein. Im Gebäudeinnern wurden sämtliche  Zimmer durchsucht und Schränke durchwühlt. Die Einbrecher erbeuteten einige Wertsachen und etwas Bargeld. Personen denen in Abstatt am Samstagabend etwas verdächtig erschienen ist, werden gebeten sich beim Polizeirevier Weinsberg unter der Tel Nr 07134/9920 zu melden.",
03.11.2013,Mulfingen,,Neubergstraße,,x,,,,"Über die Terrassentüre versuchte ein Unbekannter, wie erst jetzt angezeigt wurde, am vergangenen Sonntag zwischen 16.30 und 22 Uhr in ein Wohnhaus in der Neubergstraße einzubrechen. Er scheiterte aber und verschwand. Zurück blieb jedoch ein angerichteter Schaden von 500 Euro. Vermutlich derselbe Täter machte sich noch einem Nachbarhaus zu schaffen. Der Einbrecher drang über ein Fenster an der Rückseite ein und durchsuchte die Räume. Da das Gebäude zurzeit unbewohnt ist, fand er dort nur leere Möbel vor und musste ohne Beute wieder abziehen. Auch hier blieb ein Schaden von gut 500 Euro zurück. Zeugen, die im Tatortbereich etwas Verdächtiges beobachtet haben, sollten sich unter Tel. 06294/234 beim Polizeiposten in Krautheim melden.",
03.11.2013,Weinsberg,,Ringstraße,,x,,,,"Bargeld war das Ziel eines Einbrechers, der am Sonntag in ein Wohnhaus in der Gellmersbacher Ringstraße einstieg. Der Unbekannte brach in der Zeit zwischen 17 und 21 Uhr die Balkontüre auf und suchte in der Wohnung nach Bargeld. Nachdem er solches in noch nicht bekannter Höhe gefunden und eingesteckt hatte, verließ er das Gebäude wieder. Die Polizei hofft, dass jemand im betreffenden Zeitraum im Bereich der Ringstraße eine oder mehrere verdächtige Personen oder ein Fahrzeug gesehen hat. Zeugen werden gebeten, sich mit dem Polizeirevier Weinsberg, Telefon 07134 9920, in Verbindung zu setzen.",
04.11.2013,Bretzfeld,,Wilhelm-Busch-Straße,,x,,,,"Über eine Seitenzugangstüre drang ein Unbekannter am vergangenen Montag zwischen 8.30 und 20.30 Uhr in ein Wohnhaus in der Rappacher Wilhelm-Busch-Straße ein. Anschließend durchsuchte der Täter die Räumlichkeiten, wobei er offenbar nichts entwendete, obwohl diverse Wertgegenstände dort offen herumlagen. Zeugen, die im Tatzeitraum etwas Verdächtiges beobachtet haben, sollten sich unter Tel. 07946/940010 beim Polizeiposten Bretzfeld melden.",
05.11.2013,Bad Wimpfen,,Schiedstraße,,,,x,,Einbrecher waren in der Nacht zum Dienstag in Bad Wimpfen unterwegs. In der Schiedstraße rissen sie die Seiteneingangstüre einer Gaststätte gewaltsam auf. Im Innern wurde jedoch nichts gestohlen.,
05.11.2013,Bad Wimpfen,,Erich-Sailer-Straße,,,,x,,"Auch in der Erich-Sailer-Straße machten sie keine Beute. Dort warfen sie um 02:40 Uhr die Scheibe eines Fensters einer Gaststätte mit einem Pflasterstein kaputt, öffneten es und stiegen ein. Als die Alarmanlage losging, flüchteten sie. Zeugen, die in der Nähe der beiden Lokale verdächtige Personen oder Fahrzeuge beobachtet haben, werden gebeten, sich mit dem Polizeiposten Bad Wimpfen, Telefon 07063 93340, in Verbindung zu setzen.",
06.11.2013,Flein,,Heilbronner Straße,,,x,,,"Einen ordentlichen Hunger hatte offensichtlich ein 42-Jähriger, der am Dienstag, kurz vor Mitternacht auf unbekannte Weise die Türen zu den Kühlräumen einer Metzgerei in Flein öffnete und diese betrat. Dort packte er Wurst und Brötchen in einen Rucksack und stellte sich außerdem eine Kiste mit Gemüse zum Abtransport bereit. Als er noch am „Arbeiten“ war kam der Besitzer nach Hause und bemerkte den ungebetenen Gast. Nachdem der Mann der Polizei übergeben worden war, stellten die Beamten fest, dass dieser ordentlich dem Alkohol zugesprochen hatte. Ein Atemalkoholtest erbrachte einen Wert von deutlich über zwei Promille.",
06.11.2013,Löchgau,,Weinstraße,,x,,,,"Auf frischer Tat wurde am Mittwoch kurz nach 19.30 Uhr ein Einbrecher ertappt, der gerade in einem Wohnhaus in der Weinstraße zugange war. Indem der Täter die Terrassentür aufhebelte, verschaffte er sich Zutritt ins Gebäude und durchsuchte sämtliche Räumlichkeiten, wobei ihm ein Schmuckkästchen in die Hände fiel. Unter Mitnahme seiner Beute ergriff der Einbrecher in dem Augenblick als die Haustür aufgeschlossen wurde über die Terrassentür und den Nachbargarten die Flucht. Angaben über den Wert des Diebesguts und den entstandenen Schaden konnten noch nicht erlangt werden. Zeugen werden gebeten, sich mit dem Polizeirevier Bietigheim-Bissingen, Tel. 07142/405-0, in Verbindung zu setzen.",
06.11.2013,Mundelsheim,,Blumenstraße,,x,,,,"Indem ein unbekannter Täter am Mittwoch in der Zeit zwischen 09.00 Uhr und 18.45 Uhr an einem Wohnhaus in der Blumenstraße die Terrassentür aufhebelte, gelangte er in die Räumlichkeiten, die er anschließend durchsuchte. Inwiefern der Einbrecher bei seiner Suche auf Stehlenswertes stieß, konnte noch nicht geklärt werden. An der Terrassentür entstand ein Schaden in Höhe von etwa 800 Euro. Die Ermittlungen dauern an. Hinweise nimmt das Polizeirevier Marbach am Neckar unter Tel. 07144/900-0 entgegen.",
07.11.2013,Neuenstein,,Mauerweg,,,,,Kindergarten,"In den Kindergarten im Mauerweg drang ein Unbekannter in der Nacht zum Donnerstag ein. Anschließend ging er zum Büro im Obergeschoss, brach die Türen auf und durchsuchte die Räume vermutlich nach Bargeld, wobei er nicht fündig wurde und ohne Beute wieder verschwand. Sachdienliche Hinweise nimmt das Polizeirevier in Öhringen unter Tel. 07941/9300 entgegen.",
07.11.2013,Ilsfeld,,Große Hasengasse,,,,,Rohbau,"In Ilsfeld ertappten Arbeiter am Donnerstagmorgen um 10 Uhr einen 36-Jährigen, der gerade kleine Arbeitsmaschinen aus einem Rohbau trug. Bei einer anschließenden Überprüfung durch die alarmierte Polizei wurde festgestellt, dass der Mann bereits mehrere andere Maschinen mit einem Gesamtwert von rund 600 Euro gestohlen hatte. Er selbst sah seine Tat nicht als Diebstahl an, weil er alle Gegenstände nach seinen Angaben eigentlich in einem Müllcontainer entsorgen wollte. Interessant war der Promillewert, den ein Atemalkoholtest noch am Vormittag ergab: Er hatte über 3,2 Promille.",
07.11.2013,Abstatt,,Rathausstraße,,,,x,,"In Abstatt war eine Gaststätte in der Rathausstraße das Ziel von Langfingern. Nachdem diese in das Lokal eingebrochen waren, öffneten sie dort gewaltsam drei Geldautomaten und ließen die Inhalte mitgehen.",
07.11.2013,Beilstein,,Hauptstraße,,,,x,,"Viel zu tun hatte die Polizei am Donnerstag im südlichen Landkreis. In Beilstein versuchten in der Nacht Unbekannte, in eine Gaststätte in der Hauptstraße einzubrechen. Sie wollten ein Fenster aufwuchten, was jedoch misslang. Bereits am 23. Oktober scheiterte am gleichen Haus ein Einbruchsversuch. Es wird nicht ausgeschlossen, dass es sich um dieselben Täter handelte.",
07.11.2013,Ilsfeld,,In den Dorfwiesen,,x,,,,In Ilsfeld-Auenstein wuchteten Unbekannte ebenfalls in der Nacht von Mittwoch auf Donnerstag in den Dorfwiesen die Terrassentüre eines Wohnhauses auf. Im Gebäude durchsuchten sie alle Schränke. Seltsamerweise wurde offenbar nichts entwendet. Der angerichtete Sachschaden liegt wohl im vierstelligen Bereich.,
07.11.2013,Öhringen,,Torstraße,,,,x,,"In ein Lokal in der Unteren Torstraße brach ein Unbekannter in der Nacht zum Donnerstag nach 0.30 Uhr ein. Anschließend wuchtete er dort mit Brachialgewalt zwei Geldspielautomaten auf und entwendete daraus das Bargeld in unbekannter Höhe. Zurück blieb ein angerichteter Sachschaden an den Automaten von  gut 10.000 Euro. Vermutlich derselbe Täter wollte dann auch noch in eine benachbarte Metzgerei eindringen. Er schlug ein Fenster zum Büro ein und ließ dann jedoch von der weiteren Tatausführung ab. Möglicherweise wurde er gestört und flüchtete deshalb. Zeugen, die in der Tatnacht etwas Verdächtiges beobachtet haben, sollten sich unter Tel. 07941/9300 beim Polizeirevier melden.",
07.11.2013,Untereisesheim,,Kelterplatz,,,x,,,"Ein Laptop Acer erbeuteten Unbekannte in der Nacht zum Donnerstag in Untereisesheim. Die Einbrecher hängten ein gekipptes Fenster des Firmengebäudes am Kelterplatz aus und stiegen in das Büro ein. Für andere Elektronikgeräte interessierten sich die Täter offensichtlich nicht. Hinweise auf die Einbrecher hat die Polizei keine, weshalb eventuelle Zeugen, die im Bereich des Kelterplatzes verdächtige Wahrnehmungen gemacht haben gebeten, sich mit dem Posten Bad Wimpfen, Telefon 07063 93340, in Verbindung zu setzen.",
08.11.2013,Möckmühl,Züttlingen,Bergstraße,,,,,Kindergarten,"Im Zeitraum zwischen Donnerstag, 07.11. und Freitag, 08.11.2013, 18.00 bis 07.00 Uhr, verschaffte sich im Ortsteil Züttlingen ein unbekannter Täter über eine Notausgangstüre Zutritt zum dortigen Kindergarten. Anschließend brach er einen Rollcontainer im Büroraum des Gebäudes gewaltsam auf und entwendete daraus ein Laptopgerät. Darüber hinaus fand er bei seiner weiteren Suche in einem Schrankfach eine verschlossene graue Geldkassette mit Bargeld, welche er, samt aufgefundenen Schlüsseln ebenfalls an sich nahm und entwendete. Der Gesamtschaden zur Tat beträgt ca. 1.600.- Euro.  
Personen, die Beobachtungen zum Sachverhalt mitteilen können, werden gebeten, sich mit dem Polizeirevier Neckarsulm, Tel. 07132-9371-0, in Verbindung zu setzen.",
08.11.2013,Heilbronn,,Nordstraße,,x,,,,"Am Freitagabend, 08.11.2013, verschafften sich in der Zeit zwischen 18.00 und 20.00 Uhr unbekannte Täter gewaltsam Zutritt zu einem Wohnhaus in der Nordstraße und entwendeten daraus Bargeld und Schmuck. Der Einbruch wurde vom Wohnungseigentümer nach dessen Rückkehr festgestellt. Personen, die Zeugenhinweise zum Sachverhalt machen können, werden gebeten, sich mit der Polizei Heilbronn, Tel. 07131-104-2500, in Verbindung zu setzen.",
09.11.2013,Neuenstein,,Eichhofer Straße,,x,,,,"Im Zeitraum vom 02.11. bis 09.11.2013 hebelten bisher unbekannte Täter an einer Garage in der Eichhofer Straße die Zugangstüre auf. Von dort aus verschafften sie sich über eine Verbindungstüre gewaltsam Zugang zum Wohnhaus. Sie durchsuchten sämtliche Wohnräume und entwendeten letztendlich verschiedenes Silberbesteck, zwei Gipsfiguren sowie einen Porzellanaschenbecher. Da das Wohnhaus vorübergehend unbewohnt war, wurde der Einbruch erst am letzten Samstag festgestellt. Der Wert des Diebesgutes steht noch nicht fest. Hinweise bitte an die Polizei Öhringen, 07941/9300.",
10.11.2013,Neckarsulm,,Grenchenstraße,1.500,,,,Kindergarten,Mit brachialer Gewalt wuchteten Unbekannte am vergangenen Wochenende die Eingangstüre eines Kindergartens in der Grenchenstraße in Neckarsulm-Amorbach auf. Im Innern des Gebäudes durchsuchten sie alle Schränke und stahlen einen Computer mit Bildschirm sowie die Kaffeekasse der Erzieherinnen. Allein der angerichtete Sachschaden wurde auf über 1.500 Euro geschätzt.,
