Stand Lika-DB (keine Fortführung): 18.07.2011;;;;;
Dienststellenschluessel;Dienststelle;Gemeindeschluessel;Gemeinde;Gemarkungsschluessel;Gemarkung
290;97941 Tauberbischofsheim  ;8128039;Freudenberg               ;80001;Freudenberg               
290;97941 Tauberbischofsheim  ;8128039;Freudenberg               ;80002;Boxtal                    
290;97941 Tauberbischofsheim  ;8128039;Freudenberg               ;80003;Ebenheid                  
290;97941 Tauberbischofsheim  ;8128039;Freudenberg               ;80004;Rauenberg                 
290;97941 Tauberbischofsheim  ;8128039;Freudenberg               ;80005;Wessental                 
290;97941 Tauberbischofsheim  ;8128131;Wertheim                  ;80010;Wertheim                  
290;97941 Tauberbischofsheim  ;8128131;Wertheim                  ;80011;Bettingen                 
290;97941 Tauberbischofsheim  ;8128131;Wertheim                  ;80012;Dertingen                 
290;97941 Tauberbischofsheim  ;8128131;Wertheim                  ;80013;Dietenhan                 
290;97941 Tauberbischofsheim  ;8128131;Wertheim                  ;80014;Dörlesberg                
290;97941 Tauberbischofsheim  ;8128131;Wertheim                  ;80015;Grünenwört                
290;97941 Tauberbischofsheim  ;8128131;Wertheim                  ;80016;Höhefeld                  
290;97941 Tauberbischofsheim  ;8128131;Wertheim                  ;80017;Kembach                   
290;97941 Tauberbischofsheim  ;8128131;Wertheim                  ;80018;Lindelbach                
290;97941 Tauberbischofsheim  ;8128131;Wertheim                  ;80019;Mondfeld                  
290;97941 Tauberbischofsheim  ;8128131;Wertheim                  ;80020;Nassig                    
290;97941 Tauberbischofsheim  ;8128131;Wertheim                  ;80021;Reicholzheim              
290;97941 Tauberbischofsheim  ;8128131;Wertheim                  ;80022;Sachsenhausen             
290;97941 Tauberbischofsheim  ;8128131;Wertheim                  ;80023;Sonderriet                
290;97941 Tauberbischofsheim  ;8128131;Wertheim                  ;80024;Urphar                    
290;97941 Tauberbischofsheim  ;8128131;Wertheim                  ;80025;Waldenhausen              
290;97941 Tauberbischofsheim  ;8128064;Külsheim                  ;80030;Külsheim                  
290;97941 Tauberbischofsheim  ;8128064;Külsheim                  ;80031;Eiersheim                 
290;97941 Tauberbischofsheim  ;8128064;Külsheim                  ;80032;Hundheim                  
290;97941 Tauberbischofsheim  ;8128064;Külsheim                  ;80033;Steinbach                 
290;97941 Tauberbischofsheim  ;8128064;Külsheim                  ;80034;Steinfurt                 
290;97941 Tauberbischofsheim  ;8128064;Külsheim                  ;80035;Uissigheim                
290;97941 Tauberbischofsheim  ;8128128;Werbach                   ;80040;Werbach                   
290;97941 Tauberbischofsheim  ;8128128;Werbach                   ;80041;Brunntal                  
290;97941 Tauberbischofsheim  ;8128128;Werbach                   ;80042;Gamburg                   
290;97941 Tauberbischofsheim  ;8128128;Werbach                   ;80043;Niklashausen              
290;97941 Tauberbischofsheim  ;8128128;Werbach                   ;80044;Wenkheim                  
290;97941 Tauberbischofsheim  ;8128128;Werbach                   ;80045;Werbachhausen             
290;97941 Tauberbischofsheim  ;8128045;Großrinderfeld            ;80050;Großrinderfeld            
290;97941 Tauberbischofsheim  ;8128045;Großrinderfeld            ;80051;Gerchsheim                
290;97941 Tauberbischofsheim  ;8128045;Großrinderfeld            ;80052;Ilmspan                   
290;97941 Tauberbischofsheim  ;8128045;Großrinderfeld            ;80053;Schönfeld                 
290;97941 Tauberbischofsheim  ;8128115;Tauberbischofsheim        ;80060;Tauberbischofsheim        
290;97941 Tauberbischofsheim  ;8128115;Tauberbischofsheim        ;80061;Dienstadt                 
290;97941 Tauberbischofsheim  ;8128115;Tauberbischofsheim        ;80062;Distelhausen              
290;97941 Tauberbischofsheim  ;8128115;Tauberbischofsheim        ;80063;Dittigheim                
290;97941 Tauberbischofsheim  ;8128115;Tauberbischofsheim        ;80064;Dittwar                   
290;97941 Tauberbischofsheim  ;8128115;Tauberbischofsheim        ;80065;Hochhausen                
290;97941 Tauberbischofsheim  ;8128115;Tauberbischofsheim        ;80066;Impfingen                 
290;97941 Tauberbischofsheim  ;8128061;Königheim                 ;80070;Königheim                 
290;97941 Tauberbischofsheim  ;8128061;Königheim                 ;80071;Brehmen                   
290;97941 Tauberbischofsheim  ;8128061;Königheim                 ;80072;Gissigheim                
290;97941 Tauberbischofsheim  ;8128061;Königheim                 ;80073;Pülfringen                
290;97941 Tauberbischofsheim  ;8128047;Grünsfeld                 ;80075;Grünsfeld                 
290;97941 Tauberbischofsheim  ;8128047;Grünsfeld                 ;80076;Grünsfeldhausen           
290;97941 Tauberbischofsheim  ;8128047;Grünsfeld                 ;80077;Krensheim                 
290;97941 Tauberbischofsheim  ;8128047;Grünsfeld                 ;80078;Kützbrunn                 
290;97941 Tauberbischofsheim  ;8128047;Grünsfeld                 ;80079;Paimar                    
290;97941 Tauberbischofsheim  ;8128047;Grünsfeld                 ;80080;Zimmern                   
290;97941 Tauberbischofsheim  ;8128137;Wittighausen              ;80085;Oberwittighausen          
290;97941 Tauberbischofsheim  ;8128137;Wittighausen              ;80086;Poppenhausen              
290;97941 Tauberbischofsheim  ;8128137;Wittighausen              ;80087;Unterwittighausen         
